Section,Title,URL,Users
leon,Entran por la fuerza a casa y matan al pequeño Dilan de 6 años en el Coecillo,https://www.am.com.mx/leon/Leon-Entran-por-la-fuerza-a-casa-y-matan-al-nino-Dilan-de-seis-anos-en-el-Coecillo-20210913-0104.html,25580
noticias,"VIDEO En Estados Unidos, mujer con COVID se tira al piso mientras espera a que la atiendan",https://www.am.com.mx/noticias/COVID-Estados-Unidos-VIDEO-Mujer-se-tira-al-piso-mientras-esperaba-que-la-atendieran--20210823-0046.html,25580
noticias,"Brandon Velázquez, emprendedor exitoso que puso a León ‘en el mapa’ gracias a ‘Tacovid’",https://www.am.com.mx/guanajuato/noticias/Brandon-Velazquez-Vilches-en-Leon-Un-emprendedor-con-exito-gracias-a-Tacovid-VIDEO-20210508-0016.html,25337
noticias,"Se le poncha llanta en bache, baja a cambiarla y la mata neumático que se desprendió de tráiler",https://www.am.com.mx/noticias/Estado-de-Mexico-se-le-poncha-neumatico-en-bache-se-orilla-para-cambiarla-y-la-mata-llanta-que-se-desprendio-de-trailer-20210824-0064.html,25337
noticias,VIDEO Captan los balazos del asesinato de Alma Rosa Barragán,https://www.am.com.mx/guanajuato/noticias/VIDEO-Captan-los-balazos-del-asesinato-de-Alma-Rosa-Barragan-20210601-0018.html,25337
noticias,"León: Muere Guadalupe González Lupita de varios disparos en la cabeza | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Leon-Muere-Guadalupe-Gonzalez-Lupita-de-varios-disparos-en-la-cabeza-20210324-0030.html,25255
noticias,"Taxista que llevó a Brandon en su última noche ya declaró ante autoridades, afirma padre",https://www.am.com.mx/guanajuato/noticias/Taxista-que-llevo-a-Brandon-en-su-ultima-noche-ya-declaro-ante-autoridades-afirma-padre-20210512-0044.html,25174
noticias,Vecinos escucharon el sufrimiento cuando acuchillaban a varios hombres en la Aurora,https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Pelean-dentro-de-casa-y-matan-a-uno-con-cuchillo-en-la-Aurora-hay-tres-graves-20210815-0027.html,25012
superdeportivo,"Laura Galván establece récord nacional, pero queda fuera de final en 5000 metros",https://www.am.com.mx/superdeportivo/Juegos-Olimpicos-2021-atletas-Guanajuato-Laura-Galvan-establece-record-nacional-pero-queda-fuera-de-final-en-5000-metros--20210730-0002.html,24768
guanajuato,Llegan vacunas COVID para jóvenes de 18 a 29 años; se aplicarán en 17 municipios,https://www.am.com.mx/guanajuato/Vacunas-COVID-en-Guanajuato-llegan-dosis-para-jovenes-de-18-a-29-anos-se-aplicaran-martes-5-de-octubreen-17-municipios-20211002-0065.html,24687
leon,Marcos Estrada de Valedores de la Sierra sufrió accidente en León y está grave de salud,https://www.am.com.mx/leon/Marcos-Estrada-de-Valedores-de-la-Sierra-sufrio-accidente-en-Leon-y-esta-grave-de-salud-20210913-0010.html,24687
coronavirus,COVID: Adulto mayor sufre síndrome anal inquieto tras contagiarse,https://www.am.com.mx/coronavirus/COVID-Adulto-mayor-sufre-sindrome-anal-inquieto-tras-contagiarse-20211004-0085.html,24606
